ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,CBW,CBL,GBW,GBL,IWW,IWL,SBW,SBL,B365W,B365L,B&WW,B&WL,EXW,EXL,PSW,PSL,WPts,LPts,UBW,UBL,LBW,LBL,SJW,SJL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL,MaxWin,MaxLoss,AvgWin,AvgLoss,PlayerA,PlayerB,RankA,RankB,RankDiff,WinnerBinary,MaxOddsPlayerA,MaxOddsPlayerB,AvgOddsPlayerA,AvgOddsPlayerB,H2H_A_wins,H2H_B_wins,H2H_Diff,WinsA,LossesA,WinsB,LossesB,WinRateA_cum,WinRateB_cum,Form10A,Form10B,RestDaysA,RestDaysB,DiffWR,DiffForm,DiffRest,LogRankDiff,H2HDiff,ProbA_odds,ProbB_odds,OddsProbDiff,WinRateA_x_Rank,WinRateB_x_Rank,EfficiencyDiff
36,London,Wimbledon,2025-07-13,Grand Slam,Outdoor,Grass,The Final,5.0,Sinner J.,Alcaraz C.,1.0,2,4.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,1.83,2.0,,,,,1.85,2.07,10430.0,9300.0,,,,,,,1.87,2.07,1.82,1.98,,,1.85,2.07,1.84,2.035,Alcaraz C.,Sinner J.,2.0,1.0,1.0,0,2.07,1.87,1.98,1.82,10,5,5,240,59,274,86,0.9210526315789473,0.7368421052631579,1.0,0.8,2,2,0.1842105263157895,0.19999999999999996,0,0.6931471805599453,5,0.48309178743961356,0.53475935828877,-0.05166757084915641,0.4605263157894737,0.7368421052631579,-0.2763157894736842
36,London,Wimbledon,2025-07-11,Grand Slam,Outdoor,Grass,Semifinals,5.0,Alcaraz C.,Fritz T.,2.0,5,6.0,4.0,5.0,7.0,6.0,3.0,7.0,6.0,,,3.0,1.0,Completed,,,,,,,,,1.17,4.75,,,,,1.2,5.13,9300.0,4635.0,,,,,,,1.24,5.25,1.17,4.98,,,1.2,5.13,1.185,4.94,Alcaraz C.,Fritz T.,2.0,5.0,-3.0,1,1.24,5.25,1.17,4.98,3,0,3,239,59,289,189,0.918918918918919,0.6571428571428571,1.0,0.9,3,3,0.26177606177606183,0.09999999999999998,0,-0.916290731874155,3,0.8064516129032259,0.19047619047619047,0.6159754224270354,0.4594594594594595,0.13142857142857142,0.3280308880308881
36,London,Wimbledon,2025-07-11,Grand Slam,Outdoor,Grass,Semifinals,5.0,Sinner J.,Djokovic N.,1.0,6,6.0,3.0,6.0,3.0,6.0,4.0,,,,,3.0,0.0,Completed,,,,,,,,,1.4,2.8,,,,,1.47,2.93,10430.0,4630.0,,,,,,,1.47,3.05,1.42,2.85,,,1.47,2.93,1.435,2.865,Djokovic N.,Sinner J.,6.0,1.0,5.0,0,3.05,1.47,2.85,1.42,4,5,-1,1094,215,273,86,0.8714285714285714,0.7297297297297297,0.9,0.8,2,2,0.14169884169884173,0.09999999999999998,0,1.791759469228055,-1,0.3278688524590164,0.6802721088435374,-0.35240325638452097,0.14523809523809525,0.7297297297297297,-0.5844916344916344
36,London,Wimbledon,2025-07-09,Grand Slam,Outdoor,Grass,Quarterfinals,5.0,Sinner J.,Shelton B.,1.0,10,7.0,6.0,6.0,4.0,6.0,4.0,,,,,3.0,0.0,Completed,,,,,,,,,1.25,3.6,,,,,1.32,3.6,10430.0,3130.0,,,,,,,1.34,3.9,1.29,3.58,,,1.32,3.6,1.285,3.6,Shelton B.,Sinner J.,10.0,1.0,9.0,0,3.9,1.34,3.58,1.29,1,6,-5,93,65,272,86,0.5454545454545454,0.7222222222222222,0.6,0.8,2,2,-0.1767676767676768,-0.20000000000000007,0,2.302585092994046,-5,0.25641025641025644,0.7462686567164178,-0.4898584003061614,0.05454545454545454,0.7222222222222222,-0.6676767676767676
36,London,Wimbledon,2025-07-09,Grand Slam,Outdoor,Grass,Quarterfinals,5.0,Djokovic N.,Cobolli F.,6.0,24,6.0,7.0,6.0,2.0,7.0,5.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,1.1,7.0,,,,,1.11,8.33,4630.0,2035.0,,,,,,,1.12,8.6,1.09,7.53,,,1.11,8.33,1.105,7.665,Cobolli F.,Djokovic N.,24.0,6.0,18.0,0,8.6,1.12,7.53,1.09,0,2,-2,59,49,1093,215,0.6,0.8705035971223022,0.7,0.9,2,2,-0.2705035971223022,-0.20000000000000007,0,1.3862943611198908,-2,0.11627906976744186,0.8928571428571428,-0.776578073089701,0.024999999999999998,0.14508393285371704,-0.12008393285371705
36,London,Wimbledon,2025-07-08,Grand Slam,Outdoor,Grass,Quarterfinals,5.0,Fritz T.,Khachanov K.,5.0,20,6.0,3.0,6.0,4.0,1.0,6.0,7.0,6.0,,,3.0,1.0,Completed,,,,,,,,,1.29,3.75,,,,,1.29,4.06,4635.0,2240.0,,,,,,,1.31,4.2,1.27,3.76,,,1.29,4.06,1.29,3.905,Fritz T.,Khachanov K.,5.0,20.0,-15.0,1,1.31,4.2,1.27,3.76,1,1,0,288,189,287,205,0.6521739130434783,0.6530612244897959,0.9,0.8,2,2,-0.0008873114463175957,0.09999999999999998,0,-1.3862943611198906,0,0.7633587786259541,0.23809523809523808,0.525263540530716,0.13043478260869565,0.03265306122448979,0.09778172138420585
36,London,Wimbledon,2025-07-08,Grand Slam,Outdoor,Grass,Quarterfinals,5.0,Alcaraz C.,Norrie C.,2.0,61,6.0,2.0,6.0,3.0,6.0,3.0,,,,,3.0,0.0,Completed,,,,,,,,,1.06,9.0,,,,,1.07,10.89,9300.0,952.0,,,,,,,1.07,13.5,1.05,9.96,,,1.07,10.89,1.065,9.945,Alcaraz C.,Norrie C.,2.0,61.0,-59.0,1,1.07,13.5,1.05,9.96,5,2,3,238,59,216,156,0.9166666666666666,0.5531914893617021,1.0,0.6,2,2,0.3634751773049645,0.4,0,-3.417726683613366,3,0.9345794392523364,0.07407407407407407,0.8605053651782624,0.4583333333333333,0.009068712940355774,0.44926462039297754
36,London,Wimbledon,2025-07-07,Grand Slam,Outdoor,Grass,4th Round,5.0,Djokovic N.,De Minaur A.,6.0,11,1.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,,,3.0,1.0,Completed,,,,,,,,,1.17,5.0,,,,,1.2,5.22,4630.0,3085.0,,,,,,,1.2,5.9,1.17,5.04,,,1.2,5.22,1.185,5.11,De Minaur A.,Djokovic N.,11.0,6.0,5.0,0,5.9,1.2,5.04,1.17,0,4,-4,250,149,1092,215,0.6545454545454545,0.8695652173913043,0.7,0.9,2,2,-0.21501976284584978,-0.20000000000000007,0,0.6061358035703157,-4,0.1694915254237288,0.8333333333333334,-0.6638418079096046,0.05950413223140496,0.14492753623188406,-0.0854234040004791
36,London,Wimbledon,2025-07-07,Grand Slam,Outdoor,Grass,4th Round,5.0,Sinner J.,Dimitrov G.,1.0,21,3.0,6.0,5.0,7.0,2.0,2.0,,,,,0.0,2.0,Retired,,,,,,,,,1.03,13.0,,,,,1.03,18.06,10430.0,2155.0,,,,,,,1.05,18.06,1.03,13.83,,,1.03,18.06,1.03,15.53,Dimitrov G.,Sinner J.,21.0,1.0,20.0,0,18.06,1.05,13.83,1.03,1,5,-4,468,296,271,86,0.6049382716049383,0.7142857142857143,0.7,0.8,2,2,-0.10934744268077601,-0.10000000000000009,0,3.044522437723423,-4,0.05537098560354375,0.9523809523809523,-0.8970099667774086,0.02880658436213992,0.7142857142857143,-0.6854791299235744
36,London,Wimbledon,2025-07-07,Grand Slam,Outdoor,Grass,4th Round,5.0,Shelton B.,Sonego L.,10.0,47,3.0,6.0,6.0,1.0,7.0,6.0,7.0,5.0,,,3.0,1.0,Completed,,,,,,,,,1.29,3.75,,,,,1.32,3.76,3130.0,1171.0,,,,,,,1.32,4.3,1.27,3.76,,,1.32,3.76,1.305,3.755,Shelton B.,Sonego L.,10.0,47.0,-37.0,1,1.32,4.3,1.27,3.76,4,1,3,92,65,151,165,0.5238095238095238,0.5652173913043478,0.6,0.6,2,2,-0.04140786749482395,0.0,0,-1.5475625087160125,3,0.7575757575757576,0.23255813953488372,0.5250176180408739,0.05238095238095238,0.012025901942645698,0.040355050438306686
